Date,PWSA,ABC,GTI,PAS,PEPC,PPAP,PPSP,CGSM,MJQE
1/13/2025,-0.006369448,-0.005602256,0,0.003430535,-0.012848142,0.00293686,-0.013921339,0,0.004842624
1/10/2025,0,-0.013869848,0,-0.0051414,0,0,0,0,-0.004842624
1/9/2025,0,-0.005494519,0,-0.00851069,-0.004246291,-0.014598799,0,0,-0.004819286
1/8/2025,0,-0.013605652,0,0.003395589,-0.016807118,0,0,0,0
1/6/2025,-0.006329135,-0.002699057,-0.00790518,-0.001699236,-0.008298803,-0.004338402,0.004618946,0,0.004819286
1/3/2025,0,0.010840215,0,0.003401364,0,0.004338402,0,0,-0.004819286
1/2/2025,-0.003149609,-0.026883339,0,0.015450951,0.012474174,-0.002894358,-0.004618946,-0.004123717,0
12/31/2024,-0.00313972,0.00798939,0.011881328,0,-0.016597891,0,0.009259325,0.004123717,0.014528101
12/30/2024,0.018987912,0.032611586,-0.00793655,0.012184659,0.01242252,0.018964828,-0.013857035,-0.004123717,0
12/27/2024,0.003200003,0.022347299,0.003960401,0.005267791,-0.008298803,-0.001471671,0,-0.004106782,0
12/26/2024,0.003210276,0.014224991,0.003976148,0,-0.01639381,0.014815086,0,0.004106782,0
12/25/2024,0.003220615,0.011527505,0,0,-0.004056801,0,0,0,0
12/24/2024,-0.00643089,-0.002894358,-0.003976148,0.001762115,0.016326893,-0.002980628,0.009216655,0.004123717,0
12/23/2024,0.012903405,0,-0.003960401,0.003533573,-0.004106782,0.002980628,-0.004618946,0.004140793,0
12/20/2024,-0.006472515,0,-0.007874056,0.003546103,0,0,0,0,0
12/19/2024,-0.003220615,0.002894358,0,0.003558723,-0.004089985,0.001493652,0.004618946,-0.00826451,0
12/18/2024,0.006451635,-0.002894358,-0.003913899,-0.005333346,-0.008130126,0,0,0,0
12/17/2024,0,0,0,-0.00177148,0.032924785,-0.00596127,-0.009216655,0.004123717,0.004889985
12/16/2024,0,0,0.003913899,0.005323881,0.012631747,0.011958289,-0.004576667,-0.008230499,-0.004889985
12/13/2024,0,0.002894358,0,0.003565066,0.00851069,-0.007490672,0,0,0
12/12/2024,0.003241494,0,-0.015564517,-0.01242252,-0.00851069,0,-0.004555817,0,0
12/11/2024,-0.003241494,0,-0.007692346,0.001765226,-0.025105921,-0.002980628,0,0.008230499,0
12/10/2024,0,0,0.007692346,0,0,0,-0.004535155,-0.008230499,0
12/9/2024,0.003241494,-0.002894358,0,-0.001765226,-0.004123717,-0.00297177,0,0,0
12/6/2024,-0.003241494,0.005797118,0.003868477,0.003533573,0.004123717,0.008941937,0.004535155,0.004106782,0.009804
12/5/2024,0.003241494,0,0.01169604,-0.003533573,0,-0.002989539,-0.035718083,-0.004106782,0
12/4/2024,0,-0.005797118,-0.019418086,-0.001762115,0,-0.002980628,-0.017391743,0,-0.004914015
12/3/2024,-0.009693129,0,-0.007662873,0.005295688,0.008298803,-0.008888947,-0.004301082,0.004106782,-0.004889985
12/2/2024,0.003220615,0,0.023167059,-0.003533573,-0.00415801,0.001476015,0.004301082,0,0
11/29/2024,-0.016000341,0,-0.023167059,-0.001762115,0.00415801,0.001478197,0.017391743,-0.004106782,0
11/28/2024,0,0,-0.003809528,0.007067167,-0.00415801,0.004447746,-0.004376375,0,0
11/27/2024,0.003179653,0,0.019194447,-0.00177148,0.00415801,-0.002967361,0.004376375,0.008230499,0.004889985
11/26/2024,0,-0.005763705,-0.019194447,-0.00881063,-0.00415801,0.00445435,0,-0.008230499,0
11/25/2024,-0.006349228,-0.002869442,-0.003795071,-0.001752849,0,-0.011834458,0.004395611,0,0
11/22/2024,0,0.002869442,-0.007547206,0.001752849,0.016736792,0.007380107,0.004415018,0.004106782,0
11/21/2024,0.006349228,-0.002869442,0,0.003514942,-0.020877585,0,0,-0.004106782,-0.004889985
11/20/2024,-0.003179653,0,0.042232764,0.001762115,0,0,0,0.004106782,0
11/19/2024,-0.009478744,-0.002861232,0.031875209,0,0,0.00148258,0.004434597,-0.004106782,0
11/18/2024,-0.018692133,-0.005698021,-0.00404041,0.007079676,0.020877585,0.008941937,0.008928631,-0.004089985,0
11/13/2024,0.028170877,0.005698021,0.00809721,0,0,0,0.00449439,0.004089985,0.004889985
11/12/2024,0.006369448,0.002861232,0.024692613,0.001777778,0,0.012048339,0.00451468,0.004106782,0
